date,visitors,arrived,leftOfTimeout,leftBeforeTimeout,courseParticipants,courseName,courseStatus
2025-11-11T20:05:19,7,0,0,0,0,YAKO BAILA,CANCELED
2025-11-11T20:17:45,9,2,0,0,0,YAKO BAILA,CANCELED
2025-11-11T20:27:44,9,0,0,0,0,YAKO BAILA,CANCELED
2025-11-11T20:36:54,9,0,0,0,,,
2025-11-11T20:45:23,9,1,1,0,,,
2025-11-11T20:53:47,9,1,1,0,,,
2025-11-11T21:06:53,8,0,1,0,,,
2025-11-11T21:20:26,10,2,0,0,,,
2025-11-11T21:37:03,9,0,0,1,,,
2025-11-11T21:46:26,7,1,3,0,,,
2025-11-11T21:54:24,8,1,0,0,,,
2025-11-11T22:05:37,7,0,0,1,,,
2025-11-11T22:18:14,4,0,1,2,,,
2025-11-11T22:29:33,4,0,0,0,,,
2025-11-11T22:39:18,4,0,0,0,,,
2025-11-11T22:47:48,3,0,0,1,,,
2025-11-11T22:55:41,3,0,0,0,,,
2025-11-11T23:07:15,3,0,0,0,,,
2025-11-11T23:20:23,2,0,0,1,,,
2025-11-11T23:36:44,1,0,0,1,,,
2025-11-11T23:45:56,1,0,0,0,,,
2025-11-11T23:54:00,1,0,0,0,,,
2025-11-12T00:06:05,0,0,1,0,,,
2025-11-12T00:18:45,0,0,0,0,,,
2025-11-12T00:29:43,0,0,0,0,,,
2025-11-12T00:39:12,0,0,0,0,,,
2025-11-12T00:47:42,0,0,0,0,,,
2025-11-12T00:56:05,0,0,0,0,,,
2025-11-12T01:33:50,0,0,0,0,,,
2025-11-12T02:04:07,0,0,0,0,,,
2025-11-12T02:47:15,0,0,0,0,,,
2025-11-12T03:24:09,0,0,0,0,,,
2025-11-12T04:01:43,0,0,0,0,,,
2025-11-12T04:32:43,0,0,0,0,,,
2025-11-12T04:52:24,0,0,0,0,,,
2025-11-12T05:08:36,0,0,0,0,,,
2025-11-12T05:23:00,0,0,0,0,,,
2025-11-12T05:39:21,0,0,0,0,,,
2025-11-12T05:49:59,0,0,0,0,,,
2025-11-12T05:58:03,0,0,0,0,,,
2025-11-12T06:10:03,1,1,0,0,,,
2025-11-12T06:24:15,3,2,0,0,,,
2025-11-12T06:37:52,3,0,0,0,,,
2025-11-12T06:47:34,3,0,0,0,,,
2025-11-12T06:55:38,3,0,0,0,,,
2025-11-12T07:10:59,3,0,0,0,,,
2025-11-12T07:32:41,4,1,0,0,,,
2025-11-12T07:49:38,5,1,0,0,,,
2025-11-12T07:59:24,5,0,0,0,,,
2025-11-12T08:11:20,4,0,1,0,,,
2025-11-12T08:28:48,2,0,2,0,,,
2025-11-12T08:38:39,2,0,0,0,,,
2025-11-12T08:47:23,2,0,0,0,,,
2025-11-12T08:55:27,2,0,0,0,,,
2025-11-12T09:09:19,2,0,0,0,,,
2025-11-12T09:24:31,2,0,0,0,,,
2025-11-12T09:41:44,3,2,1,0,,,
2025-11-12T09:56:54,3,1,1,0,,,
2025-11-12T10:10:14,3,0,0,0,,,
2025-11-12T10:30:35,5,2,0,0,,,
2025-11-12T10:45:51,5,0,0,0,,,
2025-11-12T10:54:06,7,2,0,0,,,
2025-11-12T11:07:28,7,0,0,0,,,
2025-11-12T11:21:18,9,2,0,0,,,
2025-11-12T11:40:15,9,0,0,0,,,
2025-11-12T11:54:26,9,2,2,0,,,
2025-11-12T12:05:51,9,1,1,0,,,
2025-11-12T12:18:26,10,1,0,0,,,
2025-11-12T12:29:33,9,0,0,1,,,
2025-11-12T12:39:24,9,1,1,0,,,
2025-11-12T12:48:05,8,0,0,1,,,
2025-11-12T12:56:46,8,1,1,0,,,
2025-11-12T13:15:12,7,0,0,1,,,
2025-11-12T13:33:54,4,0,1,2,,,
2025-11-12T13:59:47,4,0,0,0,,,
2025-11-12T14:19:40,3,1,2,0,,,
2025-11-12T14:37:56,3,0,0,0,,,
2025-11-12T14:50:46,3,1,1,0,,,
2025-11-12T15:07:36,5,3,1,0,,,
2025-11-12T15:21:33,5,0,0,0,,,
2025-11-12T15:39:48,5,0,0,0,,,
2025-11-12T15:50:51,5,0,0,0,,,
2025-11-12T16:07:29,4,0,0,1,,,
2025-11-12T16:21:32,3,0,0,1,,,
2025-11-12T16:38:55,4,1,0,0,,,
2025-11-12T16:50:13,4,0,0,0,,,
2025-11-12T16:59:13,4,0,0,0,,,
2025-11-12T17:11:41,3,2,3,0,,,
2025-11-12T17:32:19,3,0,0,0,,,
2025-11-12T17:49:10,3,0,0,0,16,YAKO INTÉGRAL,PLANNED
2025-11-12T17:59:38,4,1,0,0,16,YAKO INTÉGRAL,PLANNED
2025-11-12T18:11:26,4,0,0,0,16,YAKO INTÉGRAL,PLANNED
2025-11-12T18:29:55,4,0,0,0,13,STEP,PLANNED
2025-11-12T18:40:27,3,0,1,0,13,STEP,PLANNED
2025-11-12T18:53:49,3,0,0,0,13,STEP,PLANNED
2025-11-12T19:09:00,3,0,0,0,20,ABDOS FESSIERS,PLANNED
2025-11-12T19:24:17,4,3,2,0,20,ABDOS FESSIERS,PLANNED
2025-11-12T19:40:19,10,6,0,0,14,YAKO TRAINING,PLANNED
2025-11-12T19:55:05,11,1,0,0,14,YAKO TRAINING,PLANNED
2025-11-12T20:05:35,11,1,1,0,14,YAKO TRAINING,PLANNED
2025-11-12T20:18:05,11,0,0,0,,,
2025-11-12T20:28:24,12,1,0,0,,,
